unit,sex,age,icd10,geo\time	2011 	2012 	2013 	2014 
RT,F,TOTAL,B20-B24,AT	0.32 	0.22 	0.24 	0.15 
RT,F,TOTAL,B20-B24,BE	0.29 	0.22 	0.29 	0.23 
RT,F,TOTAL,B20-B24,BG	0.06 	0.16 	0.08 	0.1 
RT,F,TOTAL,B20-B24,CH	0.31 	0.37 	0.28 	0.28 
RT,F,TOTAL,B20-B24,CY	1.67 	: 	: 	0.48 
RT,F,TOTAL,B20-B24,CZ	0.03 	0.03 	: 	0.09 
RT,F,TOTAL,B20-B24,DE	0.2 i	0.17 i	0.15 	0.19 
RT,F,TOTAL,B20-B24,DK	0.07 	0.11 	0.22 	0.17 
RT,F,TOTAL,B20-B24,EE	1.71 	2.08 	1.87 	1.64 
RT,F,TOTAL,B20-B24,EL	0.09 	0.14 	0.13 	0.13 
RT,F,TOTAL,B20-B24,ES	0.77 	0.81 	0.58 	0.67 
RT,F,TOTAL,B20-B24,EU28	0.37 i	0.36 i	0.34 i	0.33 
RT,F,TOTAL,B20-B24,FI	0.04 	0.04 	0.04 	0.12 
RT,F,TOTAL,B20-B24,FR	0.35 	0.38 	0.44 	0.31 
RT,F,TOTAL,B20-B24,HR	0.05 	0.05 i	0.14 	: 
RT,F,TOTAL,B20-B24,HU	0.05 i	0.02 i	: 	0.02 
RT,F,TOTAL,B20-B24,IE	0.18 	0.03 	0.11 	0.04 
RT,F,TOTAL,B20-B24,IT	0.56 	0.58 	0.48 	0.46 
RT,F,TOTAL,B20-B24,LI	9.09 	: 	: 	: 
RT,F,TOTAL,B20-B24,LT	0.18 	0.32 	0.2 	0.32 
RT,F,TOTAL,B20-B24,LU	0.39 	0.68 	0.68 	: 
RT,F,TOTAL,B20-B24,LV	2.04 	2.22 	4.33 	3.12 
RT,F,TOTAL,B20-B24,MT	1.88 	: 	: 	0.41 
RT,F,TOTAL,B20-B24,NL	0.1 	0.07 	0.04 	0.1 
RT,F,TOTAL,B20-B24,NO	0.09 	0.08 	: 	0.12 
RT,F,TOTAL,B20-B24,PL	0.18 	0.14 	0.16 	0.17 
RT,F,TOTAL,B20-B24,PT	2.14 	1.9 	1.71 	1.8 
RT,F,TOTAL,B20-B24,RO	0.76 	0.61 	0.59 	0.63 
RT,F,TOTAL,B20-B24,RS	0.16 	0.13 	0.03 	0.03 
RT,F,TOTAL,B20-B24,SE	0.19 	0.02 	0.08 	0.06 
RT,F,TOTAL,B20-B24,SI	0.09 	0.17 	: 	: 
RT,F,TOTAL,B20-B24,SK	0.15 	0.33 	: 	: 
RT,F,TOTAL,B20-B24,TR	0.02 i	1.73 i	0.05 i	: 
RT,F,TOTAL,B20-B24,UK	0.15 i	0.18 i	0.17 	0.13 
RT,M,TOTAL,B20-B24,AT	0.63 	0.66 	0.94 	0.8 
RT,M,TOTAL,B20-B24,BE	0.53 	0.51 	0.72 	0.42 
RT,M,TOTAL,B20-B24,BG	0.22 	0.29 	0.14 	0.32 
RT,M,TOTAL,B20-B24,CH	0.77 	0.75 	0.62 	0.78 
RT,M,TOTAL,B20-B24,CY	0.52 	0.51 	0.43 	0.61 
RT,M,TOTAL,B20-B24,CZ	0.11 	0.08 	0.12 	0.23 
RT,M,TOTAL,B20-B24,DE	0.89 i	0.78 i	0.8 	0.72 
RT,M,TOTAL,B20-B24,DK	0.6 	0.85 	0.9 	0.44 
RT,M,TOTAL,B20-B24,EE	6.98 	5.8 	5.84 	5.14 
RT,M,TOTAL,B20-B24,EL	0.21 	0.52 	0.57 	0.66 
RT,M,TOTAL,B20-B24,ES	3.06 	2.76 	2.46 	2.15 
RT,M,TOTAL,B20-B24,EU28	1.25 i	1.23 i	1.17 i	1.06 
RT,M,TOTAL,B20-B24,FI	0.16 	0.23 	0.12 	: 
RT,M,TOTAL,B20-B24,FR	1.02 	1.11 	1.15 	0.99 
RT,M,TOTAL,B20-B24,HR	0.23 	0.35 i	0.23 	0.19 
RT,M,TOTAL,B20-B24,HU	0.2 i	0.14 i	0.13 	0.29 
RT,M,TOTAL,B20-B24,IE	0.33 	0.51 	0.32 	0.27 
RT,M,TOTAL,B20-B24,IT	2.03 	2.13 	1.84 	1.71 
RT,M,TOTAL,B20-B24,LI	14.43 	: 	: 	: 
RT,M,TOTAL,B20-B24,LT	0.99 	1.42 	1.69 	1.17 
RT,M,TOTAL,B20-B24,LU	1.1 	2.4 	1.92 	1.79 
RT,M,TOTAL,B20-B24,LV	4.93 	6.42 	6.63 	7.28 
RT,M,TOTAL,B20-B24,MT	0.95 	0.46 	0.45 	0.95 
RT,M,TOTAL,B20-B24,NL	0.54 	0.47 	0.37 	0.36 
RT,M,TOTAL,B20-B24,NO	0.47 	0.34 	0.16 	0.33 
RT,M,TOTAL,B20-B24,PL	0.49 	0.48 	0.48 	0.49 
