"Year","State","County ID","State / County Name","All Ages SAIPE Poverty Universe","All Ages in Poverty Count","All Ages in Poverty Count LB 90%","All Ages in Poverty Count UB 90%","90% Confidence Interval (All Ages in Poverty Count)","All Ages in Poverty Percent","All Ages in Poverty Percent LB 90%","All Ages in Poverty Percent UB 90%","90% Confidence Interval (All Ages in Poverty Percent)","Under Age 18 SAIPE Poverty Universe","Under Age 18 in Poverty Count","Under Age 18 in Poverty Count LB 90%","Under Age 18 in Poverty Count UB 90%","90% Confidence Interval (Under Age 18 in Poverty Count)","Under Age 18 in Poverty Percent","Under Age 18 in Poverty Percent LB 90%","Under Age 18 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 18 in Poverty Percent)","Ages 5 to 17 in Families SAIPE Poverty Universe","Ages 5 to 17 in Families in Poverty Count","Ages 5 to 17 in Families in Poverty Count LB 90%","Ages 5 to 17 in Families in Poverty Count UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count)","Ages 5 to 17 in Families in Poverty Percent","Ages 5 to 17 in Families in Poverty Percent LB 90%","Ages 5 to 17 in Families in Poverty Percent UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent)","Under Age 5 SAIPE Poverty Universe","Under Age 5 in Poverty Count","Under Age 5 in Poverty Count LB 90%","Under Age 5 in Poverty Count UB 90%","90% Confidence Interval (Under Age 5 in Poverty Count)","Under Age 5 in Poverty Percent","Under Age 5 in Poverty Percent LB 90%","Under Age 5 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 5 in Poverty Percent)","Median Household Income in Dollars","Median Household Income in Dollars LB 90%","Median Household Income in Dollars UB 90%","90% Confidence Interval (Median Household Income in Dollars)"
"2004","00","00000","United States","290,616,537","37,039,804","36,359,662","37,719,946","36,359,662 to 37,719,946","12.7","12.5","13.0","12.5 to 13.0","73,241,407","13,041,492","12,694,086","13,388,898","12,694,086 to 13,388,898","17.8","17.3","18.3","17.3 to 18.3","52,159,407","8,430,886","8,142,299","8,719,473","8,142,299 to 8,719,473","16.2","15.6","16.7","15.6 to 16.7","20,121,433","4,123,715","3,917,910","4,329,520","3,917,910 to 4,329,520","20.5","19.5","21.5","19.5 to 21.5","$44,334","$44,012","$44,656","$44,012 to $44,656"
"2004","06","06000","California","35,468,826","4,681,645","4,463,645","4,899,644","4,463,645 to 4,899,644","13.2","12.6","13.8","12.6 to 13.8","9,667,379","1,809,423","1,686,330","1,932,515","1,686,330 to 1,932,515","18.7","17.4","20.0","17.4 to 20.0","6,906,485","1,225,762","1,119,872","1,331,652","1,119,872 to 1,331,652","17.7","16.2","19.3","16.2 to 19.3","2,657,941","540,606","480,804","600,408","480,804 to 600,408","20.3","18.1","22.6","18.1 to 22.6","$49,894","$48,617","$51,172","$48,617 to $51,172"
"2004","06","06001","Alameda County (CA)","1,430,176","158,587","125,715","191,458","125,715 to 191,458","11.1","8.8","13.4","8.8 to 13.4","362,562","54,176","41,187","67,165","41,187 to 67,165","14.9","11.4","18.5","11.4 to 18.5","253,037","36,993","27,007","46,979","27,007 to 46,979","14.6","10.7","18.6","10.7 to 18.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$57,659","$54,645","$60,840","$54,645 to $60,840"
"2004","06","06003","Alpine County (CA)","1,154","153","114","192","114 to 192","13.2","9.9","16.6","9.9 to 16.6","204","44","31","57","31 to 57","21.7","15.4","28.1","15.4 to 28.1","143","31","21","41","21 to 41","21.7","14.7","28.8","14.7 to 28.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$42,827","$40,115","$45,723","$40,115 to $45,723"
"2004","06","06005","Amador County (CA)","34,065","2,997","2,278","3,716","2,278 to 3,716","8.8","6.7","10.9","6.7 to 10.9","6,668","833","607","1,058","607 to 1,058","12.5","9.1","15.9","9.1 to 15.9","5,171","599","416","782","416 to 782","11.6","8.0","15.1","8.0 to 15.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$47,459","$44,416","$50,710","$44,416 to $50,710"
"2004","06","06007","Butte County (CA)","209,377","31,826","24,780","38,871","24,780 to 38,871","15.2","11.8","18.6","11.8 to 18.6","47,356","10,018","7,473","12,564","7,473 to 12,564","21.2","15.8","26.5","15.8 to 26.5","35,144","6,902","4,925","8,879","4,925 to 8,879","19.6","14.0","25.3","14.0 to 25.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$34,891","$32,801","$37,115","$32,801 to $37,115"
"2004","06","06009","Calaveras County (CA)","46,481","4,323","3,304","5,343","3,304 to 5,343","9.3","7.1","11.5","7.1 to 11.5","9,133","1,203","872","1,534","872 to 1,534","13.2","9.5","16.8","9.5 to 16.8","7,211","877","605","1,149","605 to 1,149","12.2","8.4","15.9","8.4 to 15.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$46,052","$43,115","$49,189","$43,115 to $49,189"
"2004","06","06011","Colusa County (CA)","20,797","2,431","1,861","3,000","1,861 to 3,000","11.7","9.0","14.4","9.0 to 14.4","6,065","1,015","747","1,284","747 to 1,284","16.7","12.3","21.2","12.3 to 21.2","4,313","700","491","909","491 to 909","16.2","11.4","21.1","11.4 to 21.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$38,350","$36,010","$40,843","$36,010 to $40,843"
"2004","06","06013","Contra Costa County (CA)","1,011,270","78,512","61,873","95,152","61,873 to 95,152","7.8","6.1","9.4","6.1 to 9.4","263,669","27,907","21,114","34,701","21,114 to 34,701","10.6","8.0","13.2","8.0 to 13.2","193,625","18,759","13,612","23,906","13,612 to 23,906","9.7","7.0","12.3","7.0 to 12.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$65,459","$61,822","$69,310","$61,822 to $69,310"
"2004","06","06015","Del Norte County (CA)","24,832","4,779","3,571","5,987","3,571 to 5,987","19.2","14.4","24.1","14.4 to 24.1","6,216","1,552","1,111","1,993","1,111 to 1,993","25.0","17.9","32.1","17.9 to 32.1","4,651","1,137","774","1,500","774 to 1,500","24.4","16.7","32.2","16.7 to 32.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$31,502","$29,412","$33,740","$29,412 to $33,740"
